LOINC_NUM,COMPONENT
16874-0,Formate+Formaldehyde
16875-7,Francisella tularensis Ab
16876-5,Francisella tularensis Ab.IgA
16877-3,Francisella tularensis Ab.IgG
16878-1,Francisella tularensis Ab.IgM
16879-9,Francisella tularensis Ag
1688-1,4-Pyridoxate
16881-5,Gallium
16882-3,Gamma aminobutyrate
16883-1,Gamma aminobutyrate
16884-9,Gamma aminobutyrate
16885-6,Gamma aminobutyrate
16886-4,Gamma aminobutyrate
16887-2,Gamma aminobutyrate
16888-0,Gamma chlordane
16890-6,Gastrin^10M post XXX challenge
16891-4,Gastrin^11th specimen post XXX challenge
16892-2,Gastrin^15M post XXX challenge
16893-0,Gastrin^20M post XXX challenge
16894-8,Gastrin^25M post XXX challenge
16895-5,Gastrin^30M post XXX challenge
16896-3,Gastrin^5M post XXX challenge
16898-9,Giardia lamblia 65 Ag
1689-9,5'-Nucleotidase
16899-7,Giardia lamblia Ag
16900-3,Gliadin Ab
16901-1,Gliadin Ab.IgA
16902-9,Gliadin Ab.IgG
16903-7,Glucose
16904-5,Glucose^1st specimen post XXX challenge
16905-2,Glucose^2nd specimen post XXX challenge
16906-0,Glucose^3rd specimen post XXX challenge
1690-7,5'-Nucleotidase
16907-8,Glucose^4th specimen post XXX challenge
16908-6,Glucose^5th specimen post XXX challenge
16909-4,Glucose^6th specimen post XXX challenge
16910-2,Glucose^7th specimen post XXX challenge
16911-0,Glucose^8th specimen post XXX challenge
16912-8,Glucose^9th specimen post XXX challenge
16913-6,Glucose^post CFst
16914-4,Glucose^post XXX challenge
1691-5,"5,10-Methylenetetrahydrofolate reductase"
16915-1,Glucose^post meal
16916-9,Glutamate
16917-7,Glutamine
16918-5,Glutathione
16919-3,Glycine
16920-1,Glycoproteins
16921-9,Stenotaphrum secundatum Ab.IgE
16922-7,Elymus triticoides Ab.IgE
1692-3,5-Hydroxyindoleacetate
16923-5,guaiFENesin
16924-3,Haemophilus influenzae Ab.IgG
16925-0,Haemophilus influenzae A Ag
16926-8,Haemophilus influenzae A Ag
16927-6,Haemophilus influenzae B Ab.IgG
16928-4,Hantavirus puumala Ab.IgG+IgM
16929-2,Helicobacter pylori Ab
169-3,Cephradine
16930-0,Helminth Ab.IgE
1693-1,5-Hydroxyindoleacetate
16931-8,Hematocrit/Hemoglobin
16932-6,Hemoglobin A3/Hemoglobin.total
16933-4,Hepatitis B virus core Ab
16934-2,Hepatitis B virus polymerase DNA
16935-9,Hepatitis B virus surface Ab
16936-7,Hepatitis C virus Ab.IgG
16937-5,Hepatitis G virus RNA
16938-3,Heptacarboxylporphyrin
16939-1,Heptachlor
16940-9,Heptachlorepoxide
16941-7,Herbicide
16942-5,Herpes simplex virus Ab
16943-3,Herpes simplex virus Ab.IgG
16944-1,Herpes simplex virus Ab.IgM
16945-8,Herpes simplex virus Ag
16947-4,Herpes simplex virus 1 Ab
16948-2,Herpes simplex virus 1 Ab.IgG
1694-9,5-Hydroxyindoleacetate
16949-0,Herpes simplex virus 1 Ab.IgG^1st specimen
16950-8,Herpes simplex virus 1 Ab.IgG^2nd specimen
16952-4,Herpes simplex virus 1 DNA
16953-2,Herpes simplex virus 1 DNA
16954-0,Herpes simplex virus 2 Ab
16955-7,Herpes simplex virus 2 Ab.IgG
1695-6,5-Hydroxyindoleacetate
16956-5,Herpes simplex virus 2 Ab.IgG
16957-3,Herpes simplex virus 2 Ab.IgG^1st specimen
16958-1,Herpes simplex virus 2 Ab.IgG^2nd specimen
16959-9,Herpes simplex virus 2 DNA
16960-7,Herpes simplex virus 2 DNA
16962-3,Heterophile Ab
16963-1,Hexacarboxylporphyrin
1696-4,5-Methyltetrahydrofolate homocysteine methyltransferase
16964-9,Hexacarboxylporphyrin
16965-6,Lindane
16966-4,Hexachloroethane
16967-2,Hexokinase 1
16968-0,Hexokinase 3
16969-8,Histone H2a+H2b Ab
16970-6,Histoplasma capsulatum Ab
16971-4,Histoplasma capsulatum Ab.IgA
1697-2,6-Phosphogluconate dehydrogenase
16972-2,Histoplasma capsulatum Ab.IgE
16973-0,Histoplasma capsulatum Ab.IgM
16974-8,HIV 1 Ab
16975-5,HIV 1 Ab.IgG
16976-3,HIV 1 Ag
16977-1,HIV 1 Ag
16978-9,HIV 1 p24 Ab
16979-7,HIV 1 p24 Ag
1698-0,8-Hydroxyamoxapine
16980-5,HTLV II DNA
16981-3,HTLV I DNA
16982-1,HTLV I+II Ab
16983-9,hydrALAZINE
16984-7,Hydrastine
16985-4,Hydrogen/Expired gas^1.5H post dose glucose
16986-2,Hydrogen/Expired gas^1H post dose glucose
16987-0,Hydrogen/Expired gas^2.5H post dose glucose
16988-8,Hydrogen/Expired gas^2H post dose glucose
16989-6,Hydrogen/Expired gas^3.5H post dose glucose
16990-4,Hydrogen/Expired gas^3H post dose glucose
16991-2,Hydrogen/Expired gas^4.5H post dose glucose
16992-0,Hydrogen/Expired gas^4H post dose glucose
16993-8,Hydrogen/Expired gas^5.5H post dose glucose
16994-6,Hydrogen/Expired gas^5H post dose glucose
16995-3,Hydrogen/Expired gas^6H post dose glucose
16996-1,Hydrogen/Expired gas^pre dose glucose
16997-9,Hydrogen/Expired gas^post dose glucose
1699-8,Alpha-L-iduronidase
16998-7,HYDROmorphone
16999-5,Hydroquinone
17000-1,Hydroxylysine
17001-9,Hydroxyproline
17002-7,Hydroxytriazolam
17003-5,Serotonin
1700-4,Acetaldehyde
17004-3,Hypoxanthine
17005-0,IgA subclass 1
17006-8,IgA subclass 2
17007-6,IgG
17008-4,IgG/Beta tubulin
17009-2,IgM
170-1,Cephradine
17010-0,Imipenem
1701-2,Acetaldehyde
17012-6,Influenza virus A Ab
17013-4,Influenza virus A+B Ab
17014-2,Influenza virus B Ab
17015-9,Influenza virus B Ab.IgG
17016-7,Influenza virus B Ab.IgM
17017-5,Insulin^10M post XXX challenge
17018-3,Insulin^20M post XXX challenge
17019-1,Insulin-like growth factor-I^2H post XXX challenge
1702-0,Acetoacetate
17020-9,Intercellular substance Ab
17021-7,Intercellular substance Ab
17022-5,Interleukin 1+2
17023-3,Interleukin 7
17024-1,Iodine.inorganic
17025-8,Iron
17026-6,Isocyanate Ab.IgE
17027-4,Isocyanate Ab.IgG
17028-2,Isocyanate Ab.IgM
17029-0,Isoleucine
17030-8,Isopropyl ether
17031-6,Jo-1 extractable nuclear Ab
17032-4,Jo-1 extractable nuclear Ab
17033-2,Ketamine
17034-0,Ketoprofen
17035-7,Ketorolac
17036-5,La Crosse virus Ab
17037-3,La Crosse virus Ab
1703-8,Acetoacetate
17038-1,La Crosse virus Ab.IgG
17039-9,La Crosse virus Ab.IgM
17040-7,Labetalol
17041-5,Lactate dehydrogenase
17042-3,Lactoglobulin Ab.IgE
17043-1,Lactose
17044-9,Lamellar bodies
17045-6,Latex Ab.IgE
1704-6,Acetoacetate
17046-4,Latex Ab.IgG
17047-2,Latex Bencard Ab.IgE
17048-0,Latex glove extract Ab.IgE
17049-8,Latex glove extract ammoniated Ab.IgE
17050-6,Latex glove extract buffered Ab.IgE
17051-4,Laxatives
17052-2,Lead
1705-3,Acetoacetate
17053-0,Legionella longbeachae 1 Ab.IgG
17054-8,Legionella longbeachae 1 Ab.IgM
17055-5,Legionella longbeachae 2 Ab.IgG
17056-3,Legionella longbeachae 2 Ab.IgM
17057-1,Legionella pneumophila Ag
17058-9,Legionella pneumophila Ag
17059-7,Legionella pneumophila Ag
17060-5,Legionella pneumophila 1 Ab
1706-1,Acetonitrile
17061-3,Legionella pneumophila 1 Ab.IgM
17062-1,Legionella pneumophila 2 Ab
17063-9,Legionella pneumophila 2 Ab.IgM
17064-7,Legionella pneumophila 3 Ab
17065-4,Legionella pneumophila 3 Ab.IgM
17066-2,Legionella pneumophila 4 Ab
17067-0,Legionella pneumophila 4 Ab.IgM
17068-8,Legionella pneumophila 5 Ab
17069-6,Legionella pneumophila 5 Ab.IgM
17070-4,Legionella pneumophila 6 Ab
17071-2,Legionella pneumophila 7 Ab
17072-0,Legionella pneumophila 8 Ab
17073-8,Legionella pneumophila 9 Ab
17074-6,Leucine
17075-3,Lidocaine
17076-1,Lidocaine
17077-9,Lindane
17078-7,Fatty acids.esterified
1707-9,Acetylcholine
17079-5,Fatty acids.long chain
17080-3,Fatty acids.very long chain
17081-1,Triglyceride^post CFst
17082-9,Lipoprotein.alpha
17083-7,Lipoprotein.beta
17084-5,Lipoprotein.pre-beta
17085-2,Lipoprotein
17086-0,Lithium
1708-7,Acetylcholinesterase
17087-8,Loperamide
17088-6,LORazepam
17089-4,Lorcainide
17090-2,Loxapine+8-Hydroxyloxapine
17091-0,Lumpfish roe Ab.IgE
17092-8,Lupus erythematosus factor
17094-4,Lutropin^105M post XXX challenge
1709-5,Acetylcholinesterase
17095-1,Lutropin^75M post XXX challenge
17096-9,Lymphocytes.kappa/100 lymphocytes
17097-7,Cells.CD10+CD20+/100 cells
17098-5,Cells.CD100/100 cells
17099-3,Cells.CD102/100 cells
17100-9,Cells.CD103/100 cells
17101-7,Cells.CD104/100 cells
17102-5,Cells.CD105/100 cells
1710-3,Acetylcholinesterase
17103-3,Cells.CD106/100 cells
17104-1,Cells.CD107a/100 cells
17105-8,Cells.CD107b/100 cells
17106-6,Cells.CD115/100 cells
17107-4,Cells.CD117/100 cells
17108-2,Cells.CD118/100 cells
17109-0,Cells.CD11a/100 cells
17110-8,Cells.CD11b/100 cells
1711-1,Acid phosphatase
17111-6,Cells.CD12/100 cells
17112-4,Cells.CD120a/100 cells
17113-2,Cells.CD120b/100 cells
17114-0,Cells.CD122/100 cells
17115-7,Cells.CD126/100 cells
17116-5,Cells.CD128/100 cells
17117-3,Cells.CD15/100 cells
17118-1,Cells.CD16b/100 cells
17119-9,Cells.CD16-CD34+/100 cells
17120-7,Cells.CD17/100 cells
17121-5,Cells.CD18/100 cells
17122-3,Cells.CD19+Kappa+/100 cells
17123-1,Cells.CD19+Lambda+/100 cells
17124-9,Cells.CD2+CD20+/100 cells
17125-6,Cells.CD22+CD19+/100 cells
17126-4,Cells.CD24/100 cells
17127-2,Cells.CD26/100 cells
17128-0,Cells.CD27/100 cells
1712-9,Acid phosphatase.prostatic
17129-8,Cells.CD28/100 cells
17130-6,Cells.CD29/100 cells
17131-4,Cells.CD3+CD69+/100 cells
17132-2,Cells.CD3+IL2R1+/100 cells
17133-0,Cells.CD3+CD16+/100 cells
17135-5,Cells.CD3+CD56+/100 cells
17136-3,Cells.CD3+DR+/100 cells
1713-7,Acid phosphatase.prostatic
17137-1,Cells.CD30/100 cells
17138-9,Cells.CD31/100 cells
17139-7,Cells.CD32/100 cells
17140-5,Cells.CD34+DR+/100 cells
17141-3,Cells.CD36/100 cells
17142-1,Cells.CD37/100 cells
17143-9,Cells.CD39/100 cells
17144-7,Cells.CD4+CD69+/100 cells
1714-5,Acid phosphatase.prostatic
17145-4,Cells.CD4+2H4/100 cells
17146-2,Cells.CD4+CD8+/100 cells
17147-0,Cells.CD40/100 cells
17148-8,Cells.CD41/100 cells
17149-6,Cells.CD42a/100 cells
17150-4,Cells.CD42b/100 cells
17151-2,Cells.CD42c/100 cells
1715-2,Acid phosphatase
17152-0,Cells.CD42d/100 cells
17153-8,Cells.CD4+CD45RA+/Cells.CD8
17154-6,Cells.CD43/100 cells
17155-3,Cells.CD44/100 cells
17156-1,Cells.CD44R/100 cells
17157-9,Cells.CD45RA/100 cells
17158-7,Cells.CD45RB/100 cells
17159-5,Cells.CD45RO/100 cells
1716-0,Acidity.titratable
17160-3,Cells.CD46/100 cells
17161-1,Cells.CD47/100 cells
17162-9,Cells.CD48/100 cells
17163-7,Cells.CD49a/100 cells
17164-5,Cells.CD49b/100 cells
17165-2,Cells.CD49c/100 cells
17166-0,Cells.CD49d/100 cells
17167-8,Cells.CD49e/100 cells
17168-6,Cells.CD49f/100 cells
17169-4,Cells.CD5+CD2-/100 cells
17170-2,Cells.CD50/100 cells
17171-0,Cells.CD51/100 cells
17172-8,Cells.CD52/100 cells
17173-6,Cells.CD53/100 cells
17174-4,Cells.CD54/100 cells
17175-1,Cells.CD55/100 cells
17176-9,Cells.CD58/100 cells
17177-7,Cells.CD59/100 cells
1717-8,Acylcarnitine
17178-5,Cells.CD6/100 cells
17179-3,Cells.CD62E/100 cells
17180-1,Cells.CD62L/100 cells
17181-9,Cells.CD62P/100 cells
17182-7,Cells.CD63/100 cells
17183-5,Cells.CD64/100 cells
17184-3,Cells.CD66a/100 cells
17185-0,Cells.CD66b/100 cells
1718-6,Acyl CoA dehydrogenase
17186-8,Cells.CD66c/100 cells
17187-6,Cells.CD66d/100 cells
17188-4,Cells.CD66e/100 cells
17189-2,Cells.CD68/100 cells
171-9,Cephradine
17190-0,Cells.CD69/100 cells
17191-8,Cells.CD3-CD7+/100 cells
17192-6,Cells.CD72/100 cells
17193-4,Cells.CD73/100 cells
1719-4,Adenine
17194-2,Cells.CD74/100 cells
17195-9,Cells.CD77/100 cells
17196-7,Cells.CD79a/100 cells
17197-5,Cells.CD79b/100 cells
17198-3,Cells.CD8+CD28+/100 cells
17199-1,Cells.CD80/100 cells
17200-7,Cells.CD82/100 cells
17201-5,Cells.CD83/100 cells
1720-2,Adenine phosphoribosyltransferase
17202-3,Cells.CD85/100 cells
17203-1,Cells.CD86/100 cells
17204-9,Cells.CD87/100 cells
17205-6,Cells.CD88/100 cells
17206-4,Cells.CD9/100 cells
17207-2,Cells.CD91/100 cells
17208-0,Cells.CD93/100 cells
17209-8,Cells.CD94/100 cells
1721-0,Adenosine triphosphate
17210-6,Cells.CD95/100 cells
17211-4,Cells.CD96/100 cells
17212-2,Cells.CD97/100 cells
17213-0,Cells.CD98/100 cells
17214-8,Cells.CD99/100 cells
17215-5,Lymphocytes.CV/100 lymphocytes
17216-3,Cells.cytoplasmic CD3/100 cells
17217-1,Cells.cytoplasmic CD79/100 cells
17218-9,Cells.cytoplasmic Ig mu/100 cells
17219-7,Cells.cytoplasmic Ig/100 cells
17220-5,Cells.FMC7/100 cells
17221-3,Cells.CD235a/100 cells
17222-1,Lymphocytes.HLE/100 lymphocytes
17223-9,Cells.CD14/100 cells
17224-7,Lymphocytes.lambda/100 lymphocytes
17225-4,Lymphocytes.SmIg/100 lymphocytes
17226-2,Cells.SmIg-CD79/100 cells
17227-0,Lymphocytes/100 leukocytes
1722-8,Adenosine deaminase
17228-8,Lymphocytic choriomeningitis virus Ab
17229-6,Lymphocytic choriomeningitis virus Ab.IgM
17230-4,Lysine
17231-2,Lysosomal enzymes
17232-0,Lysozyme
17234-6,Magnesium.plasma/Magnesium.RBC
17235-3,Magnesium
1723-6,Adenosine deaminase binding protein
17236-1,Magnesium
17237-9,Magnesium
17238-7,Malignin Ab
17241-1,Prolactin^3H post XXX challenge
17242-9,Prolactin^40M post XXX challenge
17243-7,Prolactin^pre XXX challenge
1724-4,Adenosine diphosphate
17244-5,Manganese
17245-2,Meclizine
17246-0,Mefenamate
17247-8,Melanin
17248-6,Melanin
17249-4,Menthol
17250-2,Mephobarbital
1725-1,Adenosine monophosphate deaminase
17251-0,Mepivacaine
17252-8,Mercaptopurine
17253-6,Mercury
17254-4,Mercury
17255-1,Mercury
17256-9,Mesoridazine
17257-7,Mesothelial cells
17258-5,Metandienone
17259-3,Methadone.long acting metabolite
17260-1,Methamphetamine
17261-9,Methapyrilene
17263-5,Methemalbumin
17264-3,Methionine
17265-0,Methocarbamol
17266-8,Methotrexate
17267-6,Methoxychlor
17268-4,Methsuximide+Desmethylmethsuximide
1726-9,Adenosine monophosphate.cyclic
17269-2,Methyl isobutyl ketone
172-7,Chloramphenicol
17270-0,Methylacrylate
17271-8,"1,1,1-Trichloroethane"
17272-6,Methylenedianiline
17273-4,MethylePHEDrine
17274-2,Methylergonovine
17275-9,Methylfentanyl
17276-7,2-Methylpentane
1727-7,Adenosine monophosphate.cyclic
17277-5,metOLazone
17278-3,Miconazole
17279-1,Bacteria identified
17280-9,Plasmodium sp identified
17281-7,Microscopic observation
17282-5,Minoxidil
17283-3,Mirtazapine
17284-1,Mitochondria Ab
1728-5,Adenosine monophosphate.cyclic/Creatinine
17285-8,Mitochondria Ab
17286-6,Monocytes/100 leukocytes
17287-4,Monocytes/100 leukocytes
17288-2,Ganglioside GM1 Ab
17289-0,Monosodium glutamate Ab.IgE
17290-8,Morphine
17291-6,Morus alba Ab.IgE
17292-4,Mumps virus Ab
1729-3,Adenosine triphosphatase
17293-2,Mumps virus Ab.IgG+IgM
17294-0,Mushroom toxins
17296-5,Mycobacterium tuberculosis complex rRNA
17297-3,Mycobacterium tuberculosis rRNA
17298-1,Mycobacterium tuberculosis rRNA
17299-9,Mycoplasma fermentans Ab
17300-5,Mycoplasma hominis Ab
1730-1,Adenosine triphosphatase
17301-3,Mycoplasma hominis Ab
17302-1,Mycoplasma pneumoniae Ab
17303-9,Mycoplasma pneumoniae Ab
17304-7,Mycoplasma pneumoniae Ab.IgG+IgM
17305-4,Myelin Ab.IgA
17306-2,Myelin Ab.IgG
17307-0,Myelin Ab.IgM
17308-8,Myelin associated glycoprotein Ab
17310-4,Myelin associated glycoprotein Ab
17311-2,Myelin associated glycoprotein Ab.IgA
17312-0,Myelin associated glycoprotein Ab.IgG
17313-8,Myelin associated glycoprotein Ab.IgG
17314-6,Myelin associated glycoprotein Ab.IgM
17315-3,Myelin basic protein Ab
17316-1,Myeloperoxidase Ab
17317-9,N-acetylprocainamide
17318-7,Nalbuphine
1731-9,Adenylate kinase
17319-5,Nalidixate
17320-3,Nefazodone
17321-1,Neisseria meningitidis serogroups A+Y Ag
17322-9,Neisseria meningitidis Ab
17323-7,Neisseria meningitidis Ag
17324-5,Neisseria meningitidis Ag
17325-2,Neisseria meningitidis serogroups C+w135 Ag
17326-0,Neisseria meningitidis serogroup A Ag
1732-7,Adenylosuccinate lyase
17327-8,Neisseria meningitidis serogroup B Ab
17328-6,Neisseria meningitidis serogroup B Ag
17329-4,Neisseria meningitidis serogroup C Ag
17330-2,Neisseria meningitidis serogroup Y Ag
17331-0,Neisseria meningitidis polyvalent Ab
17332-8,Neisseria meningitidis polyvalent Ag
17333-6,Neisseria meningitidis serogroup w135 Ag
17334-4,Neopterin/Creatinine
1733-5,Adipate
17335-1,Neostigmine
17336-9,Neuronal Ab
17337-7,Neuronal Ab
17338-5,Neuronal Ab
17339-3,Neuronal Ab
17340-1,Neuronal Ab.IgG
17341-9,Neuronal nuclear Ab
17342-7,Neuronal nuclear type 2 Ab
1734-3,Aldosterone renal clearance
17343-5,Neuronal nuclear type 2 Ab
17344-3,Neuronal nuclear type 2 Ab
17345-0,Neutrophil Ab
17346-8,Neutrophil Ab
17347-6,Neutrophil Ab
17348-4,Neutrophil Ab.IgA
17349-2,Neutrophil Ab.IgG
173-5,Chloramphenicol
1735-0,Alanine
17350-0,Neutrophil Ab.IgM
17351-8,Neutrophil cytoplasmic Ab
17352-6,Neutrophil cytoplasmic Ab
17353-4,Neutrophil cytoplasmic Ab.classic
17354-2,Neutrophil cytoplasmic Ab.IgA
17355-9,Neutrophil cytoplasmic Ab.IgG
17356-7,Neutrophil cytoplasmic Ab.IgM
17357-5,Neutrophil cytoplasmic Ab.perinuclear
17358-3,Neutrophil cytoplasmic Ab.atypical
17359-1,Neutrophils
17360-9,Heptane
17361-7,Hexane
17362-5,Nicotinamide
17363-3,Nitrazepam
17364-1,Nitrophenol
17365-8,Nitroprusside
17366-6,Nizatidine
17367-4,Nomifensine
1736-8,Alanine
17368-2,Norepinephrine^standing
17369-0,Norepinephrine^2nd specimen post XXX challenge
17370-8,Norepinephrine^3rd specimen post XXX challenge
17371-6,Norepinephrine^4th specimen post XXX challenge
17372-4,Norepinephrine^5th specimen post XXX challenge
17373-2,Norepinephrine^6th specimen post XXX challenge
17374-0,Norepinephrine^7th specimen post XXX challenge
17375-7,Norflunitrazepam
1737-6,Alanine
17376-5,Norpropoxyphene
17377-3,Norpropoxyphene
17378-1,Novobiocin
17379-9,Propanol
17380-7,Nuclear Ab.histone reactive
17381-5,Uroporphyrin
17382-3,Octadecanoate
1738-4,Alanine
17384-9,Opiates
17385-6,Organic acids
17386-4,Organic acids
17387-2,Organic acids
17388-0,Organochlorine pesticides
17389-8,Ornithine
17390-6,Orphenadrine
17391-4,Orthocresol
1739-2,Alanine
17392-2,Osmium
17393-0,Ovary Ab
17394-8,Oxychlordane
17395-5,oxyMORphone
17396-3,Oxytetracycline
17397-1,Oxytriphylline
17398-9,Human papilloma virus 11 Ag
17399-7,Human papilloma virus 16 Ag
17-Apr,Amoxicillin
1740-0,Alanine aminopeptidase
17400-3,Human papilloma virus 16+18 Ag
17401-1,Human papilloma virus 18 Ag
17402-9,Human papilloma virus 31 Ag
17403-7,Human papilloma virus 31+33+35 Ag
17404-5,Human papilloma virus 33 Ag
17405-2,Human papilloma virus 42 Ag
17406-0,Human papilloma virus 43 Ag
17407-8,Human papilloma virus 44 Ag
17408-6,Human papilloma virus 45 Ag
17409-4,Human papilloma virus 5 Ag
17410-2,Human papilloma virus 51 Ag
17411-0,Human papilloma virus 6 Ag
17412-8,Human papilloma virus 6+11 Ag
17413-6,Papova virus SV40 Ab
17414-4,Parainfluenza virus 1+2+3 Ag
17415-1,Parainfluenza virus A Ab
17416-9,Parakeet droppings Ab
17417-7,Parakeet droppings Ab.IgG
1741-8,Alanine aminotransferase
17418-5,Parakeet serum Ab
17419-3,Parathion
17420-1,Parrot droppings Ab
17421-9,Parrot serum Ab
17422-7,Parvovirus B19 Ab.IgG+IgM
17423-5,Parvovirus B19 Ab.IgM
17424-3,"1,4-Dichlorobenzene"
1742-6,Alanine aminotransferase
17426-8,Penicillium roqueforti Ab.IgE
17427-6,Penicillium sp Ab
17428-4,Pentacarboxylporphyrins
17429-2,Pentachlorophenol
174-3,Chloramphenicol
17430-0,Pentane
17431-8,PENTobarbital
17432-6,Tetrachloroethylene
17433-4,pH
1743-4,Alanine aminotransferase
17434-2,Phenazopyridine
17435-9,Pheniramine
17436-7,PHENobarbital
17437-5,Phenolphthalein
17438-3,Phenolphthalein
17439-1,Phenols
17440-9,Phenothiazines
17441-7,Phenothiazines
1744-2,Alanine aminotransferase
17442-5,Phenylephrine
17443-3,Phenylpropanolamine
17444-1,Phenytoin
17445-8,Phoma herbarum Ab.IgG
17446-6,Phoma sp Ab.IgE
17447-4,Phosphate
17448-2,Phosphatidylethanolamine Ab.IgA
17449-0,Phosphatidylethanolamine Ab.IgG
17450-8,Phosphatidylethanolamine Ab.IgM
17451-6,Phosphatidylglycerol Ab.IgA
17452-4,Phosphatidylglycerol Ab.IgG
17453-2,Phosphatidylglycerol Ab.IgM
17454-0,Phosphatidylinositol Ab.IgA
17455-7,Phosphatidylinositol Ab.IgG
17456-5,Phosphatidylinositol Ab.IgM
17457-3,Phosphoethanolamine
17458-1,Phosphoethanolamine
1745-9,Albumin
17459-9,Phospholipid Ab.IgA
17460-7,Phosphoserine
17461-5,Phosphoserine
17462-3,Picloram
17463-1,Pigeon droppings Ab
17464-9,Pigeon feather Ab.IgE
17465-6,Pigeon serum Ab.IgE
17466-4,Plasminogen activator inhibitor 1 Ag
1746-7,Albumin
17467-2,Plasminogen activator inhibitor 2 Ag
17468-0,Plutonium
17469-8,PM-1 Ab
17470-6,PM-1 Ab
17471-4,PM-1 Ab
17472-2,Polybrominated biphenyl
17473-0,Polymyxin B
17474-8,Porphobilinogen
1747-5,Albumin
17475-5,Porphyrins
17476-3,Porphyrins
17477-1,Porphyrins
17478-9,Porphyrins
17479-7,Prazepam
17480-5,Pregnenolone
17481-3,Probenecid
17482-1,Procainamide
1748-3,Albumin
17483-9,Progesterone
17484-7,Progesterone^1.5H post XXX challenge
17485-4,Progesterone^15M post XXX challenge
17486-2,Progesterone^2H post XXX challenge
17487-0,Progesterone^45M post XXX challenge
17488-8,Progesterone^7th specimen post XXX challenge
17489-6,Progesterone^8th specimen post XXX challenge
17490-4,Progesterone^9th specimen post XXX challenge
1749-1,Albumin
17491-2,Proinsulin^baseline
17492-0,Proline
17493-8,Prostaglandin E
17494-6,Prostaglandin F2 alpha
17495-3,Prostaglandins
17496-1,Alpha 1 globulin
17497-9,Alpha 2 globulin
17498-7,Beta globulin
17499-5,Gamma globulin
175-0,Chloramphenicol
17501-8,Protoporphyrin
17502-6,Pseudomonas aeruginosa Ab
17504-2,Psilocybin
17505-9,Psilocybin/Psilocin
17506-7,Quinacrine
17507-5,quiNIDine
17508-3,quiNINE
1750-9,Albumin
17509-1,Ragweed marsh Ab.IgE
17510-9,Raisin Ab.IgE
17511-7,Red dye Ab.IgE
17512-5,Redfish Ab.IgE
17513-3,Renin^5H post XXX challenge
17514-1,Renin^9th specimen post XXX challenge
17515-8,Renin^baseline
17516-6,Renin^supine
1751-7,Albumin
17517-4,Respiratory syncytial virus Ab.IgG
17518-2,Respiratory syncytial virus Ab.IgG
17519-0,Respiratory syncytial virus Ab.IgM
17520-8,Respiratory syncytial virus identified
17521-6,Reticulin Ab
17522-4,Reticulin Ab.IgA
17523-2,Reticulin Ab.IgG
17524-0,Reticulin Ab.IgG
